-3887,-12119,5547
-4141,-15196,3081
-5305,-14814,-4671
-4662,-9181,-11076
-1372,-1265,-12469
2077,4907,-12174
3756,8996,-12128
3564,8431,-10910
2749,5126,-8011
2179,1774,-4825
1830,-127,-2791
1590,-361,-2392
1196,316,-2896
751,1128,-3583
214,1577,-3973
-721,1600,-3699
-2695,1408,-2806
-5629,712,-1100
-7859,-947,1374
-9551,-3187,3234
-11029,-6172,4014
-12215,-10211,3678
-12570,-13879,2223
-9558,-16173,-1244
-1311,-16074,-4369
5084,-12028,-5967
7938,-5764,-6784
8351,762,-7274
7993,5898,-7423
7917,8986,-7265
7757,9675,-6819
6895,8028,-5909
5911,5634,-4697
5050,3422,-3405
4315,1740,-2227
3651,703,-1488
3070,34,-1005
2553,-352,-764
2064,-543,-738
1553,-676,-902
-4093,-13131,5508
-6027,-14925,-1090
-5951,-11764,-9735
-325,-3722,-12798
4654,2957,-13377
4697,6899,-13200
2169,5639,-9924
1250,3839,-7091
1642,3187,-6221
1838,3573,-6489
1095,3914,-6828
-407,3221,-6117
-1810,1730,-4632
-3636,-211,-2482
-6546,-2361,164
-8860,-4738,1937
-10510,-7675,2880
-11409,-10876,3182
-10871,-13999,2810
-7200,-15150,770
-2530,-12842,-3165
1639,-7754,-7380
4439,-1133,-10261
5606,4952,-11621
6391,8911,-11396
7138,9827,-9937
6583,7537,-7701
5392,3995,-5216
4516,1061,-3144
4296,-222,-1869
4467,-3,-1327
4656,1074,-1230
4612,2188,-1355
4232,2885,-1668
3579,2949,-2011
2849,2141,-1991
2127,670,-1452
1561,-697,-825
1213,-1533,-396
1110,-1727,-193
-1563,-12361,6166
-2470,-15010,2213
-3622,-12960,-6238
-2201,-6336,-11177
1291,1295,-12641
3626,6912,-12900
4325,8908,-12648
4464,6393,-9579
3803,2988,-5703
2650,858,-3427
1344,-104,-2712
-555,-589,-2457
-2759,-767,-2372
-5079,-1036,-2098
-7415,-1778,-1204
-9389,-3030,-36
-10644,-5080,1123
-11264,-8163,1801
-11326,-11398,1343
-10466,-13944,-593
-6857,-14660,-3567
-1840,-13236,-6048
3506,-9334,-7486
6577,-4097,-7770
7682,1039,-7419
7972,5088,-6949
8251,7794,-6700
7501,8083,-6588
5914,6366,-6300
4333,4041,-5698
3418,2259,-4720
3250,1320,-3498
3323,842,-2300
3326,626,-1463
3179,571,-1053
2918,532,-928
2579,370,-946
2179,91,-1062
1708,-302,-1169
1260,-796,-1046
-5584,-9700,6786
-2461,-14036,5075
-2802,-17112,2002
-4495,-16196,-6993
-4334,-11469,-14481
-2608,-2380,-14832
-1204,4746,-13007
1438,9200,-11454
4191,8380,-10029
4317,4194,-7284
2964,1765,-5550
1230,1885,-5443
-134,2879,-5799
-993,3256,-5764
-1787,2927,-5316
-3323,1864,-4471
-5723,235,-3541
-8356,-2404,-2036
-10026,-5576,-375
-10869,-8967,504
-10873,-12580,728
-9483,-15627,565
-5640,-16212,-1053
-785,-12909,-4287
3605,-7250,-6694
5761,-1353,-7586
6605,3565,-7511
7035,7111,-7233
6997,8901,-7164
5966,8167,-7060
4761,5827,-6440
4121,3207,-5035
4084,1346,-3314
4253,567,-1929
4452,677,-1066
4483,1035,-618
4191,1198,-527
3625,1119,-745
2976,728,-986
2478,263,-1036
-6116,-9485,8383
-5109,-13218,6667
-5381,-16468,4112
-6083,-17153,-3264
-4282,-14249,-12787
-674,-6522,-15672
2852,1436,-14163
3849,7069,-12399
4303,10216,-12336
3619,7457,-11069
1482,2594,-7707
-1100,-963,-4758
-3798,-2677,-2833
-6770,-3316,-1524
-9100,-3561,-833
-10737,-4346,-325
-11737,-6421,961
-12165,-9395,1912
-12029,-12998,2065
-10731,-16474,1565
-6264,-18584,473
505,-17349,-1714
5848,-12262,-4056
7713,-4733,-6593
7508,2908,-8414
7031,8636,-9375
7023,11716,-9736
6479,11274,-9520
5701,8373,-8413
5067,4915,-6436
4654,2123,-4119
4301,390,-2114
3943,-319,-882
3768,-234,-184
3580,135,47
3184,339,-112
2600,244,-444
1919,-69,-837
1320,-496,-1028
966,-815,-936
-1980,-12253,8369
-2235,-15145,3802
-4370,-14651,-5502
-4532,-8993,-11373
-2754,-1191,-13441
-374,4716,-14195
1459,7453,-15215
1993,6475,-13718
1392,3936,-10392
46,1496,-7454
-2263,-882,-4694
-5487,-3487,-1628
-7934,-5810,574
-9688,-7679,1312
-10076,-8860,477
-8735,-9232,-1023
-6052,-8930,-2049
-2309,-7539,-2809
1270,-4920,-3777
3454,-2171,-4660
4001,-487,-5007
3803,188,-4962
3557,617,-4949
3504,1183,-5041
3910,2028,-5033
4674,2978,-4626
5327,3699,-3917
5609,4065,-3185
5607,4084,-2552
5262,3584,-1954
4572,2588,-1380
3622,1404,-988
2669,447,-911
1930,-149,-957
1535,-367,-919
1514,-241,-783
1718,117,-597
2003,570,-400
2225,982,-251
2264,1215,-235
-6388,-8104,11837
-8643,-10969,9847
-11203,-13194,4425
-13487,-14048,-2579
-13272,-12774,-8980
-10542,-9144,-13882
-6974,-4481,-17155
-4207,-697,-19104
-1269,554,-17964
2186,100,-14006
6002,-309,-9336
8263,186,-6088
8372,1046,-5018
7418,1828,-5188
6371,2317,-5453
5519,2383,-5248
4902,2116,-4569
4462,1628,-3555
4175,1033,-2411
4026,572,-1420
3927,407,-825
3836,595,-741
3653,955,-985
3379,1285,-1275
3003,1400,-1461
2547,1238,-1517
2156,870,-1386
1794,346,-1060
1477,-139,-726
1251,-472,-415
1159,-601,-111
1132,-592,134
1148,-489,248
1213,-289,235
1262,-58,93
1206,157,-183
1026,270,-524
759,206,-757
460,7,-787
206,-211,-721
2141,-12894,6686
2555,-15971,3859
1666,-16260,-5152
2459,-11056,-11890
5002,-3015,-14039
5549,3316,-14320
4639,6114,-14512
3696,3942,-11227
3487,283,-6999
3715,-2537,-3928
3608,-3396,-3154
3207,-2759,-4058
2549,-1678,-5016
1880,-915,-5425
1646,-1077,-4991
1661,-1913,-4093
1538,-2953,-3114
1216,-3974,-1986
544,-4593,-970
-769,-3926,-448
-2423,-1675,-525
-4065,1644,-737
-5014,4427,-548
-5269,5899,-61
-5060,6226,237
-4668,5802,381
-4274,4884,584
-3934,3757,1020
-3641,2795,1513
-3439,2384,1735
-3234,2428,1708
-2986,2687,1557
-2718,2956,1382
-2410,3063,1249
-1984,2931,991
-1484,2591,643
-1030,2163,352
-728,1778,241
-520,1443,290
-418,1288,415
967,-10823,9664
3846,-13726,7145
7593,-15284,-1612
10152,-11001,-8683
11804,-3247,-11927
13277,1300,-13962
13052,267,-13571
10704,-4095,-10390
7562,-7598,-9210
3158,-7957,-11741
-3255,-5805,-14830
-8365,-3914,-14343
-11135,-3392,-9823
-11631,-3577,-4163
-10954,-3490,-320
-10372,-2617,1065
-9862,-1307,960
-9271,162,268
-8712,1527,-115
-7998,2532,35
-7226,3322,173
-6507,4008,12
-5857,4508,-327
-5120,4629,-561
