-5314,-11728,4706
-5287,-15425,2580
-4483,-17599,-2308
-2849,-14495,-11787
-31,-9020,-18010
4153,-1108,-17329
6926,5796,-13431
6404,10064,-10477
4120,8531,-8193
1232,5886,-6470
-925,6873,-5874
-2110,9890,-5634
-2139,12370,-5432
-1072,14218,-5841
498,14882,-6768
1734,14201,-8105
2154,11972,-9591
1753,8282,-10345
1253,4195,-9958
956,739,-9163
233,-2405,-7884
-404,-5396,-5158
-794,-7202,-2272
-644,-7882,184
-286,-7807,2159
-108,-7308,3696
-420,-6517,4906
-963,-5339,5071
-1552,-3940,4031
-1831,-2729,2967
-1560,-1837,2255
-841,-1247,1885
36,-843,1678
643,-497,1331
871,-212,932
933,-45,703
928,33,580
773,26,621
472,-18,766
51,-43,769
-6789,-11309,5760
-4710,-15264,3284
-978,-18197,-1306
1004,-15979,-10530
545,-10755,-17904
2941,-1984,-17194
3677,5111,-13334
710,9473,-9978
-1767,9816,-8701
-2663,7358,-7543
-2275,6447,-6977
-1049,7400,-6667
143,9009,-6329
1071,10017,-5997
1621,10071,-5830
1821,9301,-5908
1896,7870,-6145
1889,5787,-6262
1595,3246,-5744
1160,1116,-4896
893,-221,-4268
696,-1069,-3964
563,-1723,-3664
530,-2149,-3407
727,-2519,-3171
1011,-3029,-2472
1246,-3657,-1142
1375,-4096,576
1164,-4127,2213
599,-3808,3403
-245,-3241,4189
-1213,-2537,4446
-1856,-1841,4203
-1993,-1277,3692
-1720,-886,3070
-1199,-639,2435
-518,-506,1995
208,-438,1793
817,-376,1748
1199,-317,1810
-5869,-11630,5660
-3592,-15293,3346
-670,-18460,23
498,-18587,-6492
108,-13674,-15411
3126,-6062,-18165
5670,2293,-14828
2838,7855,-10980
-1059,10621,-8972
-4234,8630,-7086
-5183,6482,-5881
-3956,6569,-5577
-1953,7680,-5416
-192,8483,-5081
1050,8665,-4808
1722,8223,-4559
1961,7537,-4558
1891,6897,-4884
1576,6139,-5454
1151,5080,-6073
778,3777,-6653
827,2280,-6981
971,849,-7207
979,-600,-7335
1113,-2294,-6976
1328,-4178,-5255
1257,-5694,-2243
1077,-6230,484
849,-6037,2603
-3,-5373,4250
-996,-4442,5525
-1631,-3534,6098
-1796,-2716,5968
-1495,-1997,5269
-974,-1413,4098
-459,-910,2772
1,-483,1643
435,-195,988
791,-6,809
1025,117,876
-4046,-13356,4875
-2757,-16785,2160
-2293,-18048,-3608
-3485,-14457,-12756
-2398,-8023,-17732
2701,460,-16200
5281,6762,-12802
3410,10488,-10382
125,9154,-7717
-2736,7452,-5776
-3220,8811,-5546
-2365,11352,-5737
-1113,12756,-5705
101,12658,-5579
1029,11648,-5421
1506,10235,-5324
1779,8734,-5489
1783,7014,-5660
1438,5041,-5579
883,3349,-5429
452,2116,-5434
128,1453,-5718
-73,1301,-6741
-209,893,-8176
-226,-435,-9004
161,-2609,-8398
916,-4919,-6048
1905,-6633,-2593
2106,-7131,396
